,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
0,270183212,Kỹ Năng Viết Cho Người Hành Nghề Luật,41,275000,10577,15000,5,https://salt.tikicdn.com/ts/product/d7/c4/c3/8642659cee2a2b430ec6448ee97a88fe.jpg,1,290000,290000,5.0,4
1,249009518,"Sổ kế hoạch planner 18 tháng 2023-2024 SDstationery DREAM CRAFTER 48 trang 16,5x20,5cm",107,19500,122,19500,50,https://salt.tikicdn.com/ts/product/55/cb/1b/ca6df9ada35fb8a9c57e5168542b0019.jpg,1,39000,39000,5.0,6
2,7823190,Kiến Trúc Thú Vị,360,63800,40395,21200,25,https://salt.tikicdn.com/ts/product/4e/76/e2/64a6f42733e32207232b335bf83ca508.png,1,85000,85000,4.5,13
3,53434797,Sách Tài Chính Cá Nhân Cho Người Việt Nam - Tặng Khóa học Online về Tài chính,13635,200000,108492,0,0,https://salt.tikicdn.com/ts/product/29/f0/ad/2d35f5288ea643e3768c8f3361cafa5a.jpg,1,200000,200000,4.7,1787
4,274275280,So Sánh Luật Đất Đai  năm 2013 và năm 2024,7,260000,10577,165000,39,https://salt.tikicdn.com/ts/product/df/02/66/28731c1397b786243daa2cb3f9a2d145.jpeg,1,425000,425000,0.0,0
5,74021317,Cây Cam Ngọt Của Tôi,72644,75400,40395,32600,30,https://salt.tikicdn.com/ts/product/b2/73/c4/31089a3cb10e70092d898fecaa2da18d.png,1,108000,108000,5.0,13284
6,188940817,Vị Thần Của Những Quyết Định,9942,52930,40395,26070,33,https://salt.tikicdn.com/ts/product/f4/29/80/ccc84cef32909779f47336224ab5db93.png,1,79000,79000,4.8,1160
7,189643105,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,13094,86900,40395,41100,32,https://salt.tikicdn.com/ts/product/c1/ac/74/a96cad7ead5fe6ec3ff205e167855534.png,1,128000,128000,4.8,1425
8,26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",74405,64800,40395,24200,27,https://salt.tikicdn.com/ts/product/e1/e3/27/cb510edfda5f7a2bb49999cf760bf111.jpg,1,89000,89000,4.8,7204
9,109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",25879,116000,40395,63000,35,https://salt.tikicdn.com/ts/product/52/7d/95/6ecbef0767ee8bda715b2fb834fe9005.jpg,1,179000,179000,4.8,5425
10,174588795,Ngụy Võ Đế Tào Tháo (Tái Bản 2022),83,324000,40395,91000,22,https://salt.tikicdn.com/ts/product/9f/b0/6d/fc3e3898b88eb0f05d1c1bc047857847.png,1,415000,415000,5.0,17
11,50215817,Combo Cẩm Nang Bé Gái Tuổi Dậy Thì - Quyển 1 Và 2 (Tái Bản 2019) (Bộ 2 Quyển),235,260500,26242,0,0,https://salt.tikicdn.com/ts/product/77/f2/63/d284bf77ee91d9ba8018ac985b32a09c.jpg,1,260500,260500,4.7,27
12,52785564,Dịch Hạch (Nobel Văn Chương 1957),3565,96800,40395,32200,25,https://salt.tikicdn.com/ts/product/66/a3/17/0b51ca0db5a98c5b2753c7426738d979.png,1,129000,129000,4.6,588
13,200617436,Từ Điển Việt - Anh (Khoảng 75.000 mục từ ),36,57800,40395,27200,32,https://salt.tikicdn.com/ts/product/41/38/99/5d43323c19f85f25868a0d209c128b97.jpg,1,85000,85000,4.7,3
14,247667661,Các Nghị Quyết Của Hội Đồng Thẩm Phán Toà Án Nhân Dân Tối Cao Về Hình Sự - Tố Tụng Hình Sự - Dân Sự - Tố Tụng Dân Sự -Hành Chính,3,290000,10577,105000,27,https://salt.tikicdn.com/ts/product/7b/8b/7d/a096e489ff2b2facb7a417b6f1dd112e.jpg,1,395000,395000,0.0,0
15,174301838,BỘ BOOKMARK 1% TINH HOA,3139,49000,7269,0,0,https://salt.tikicdn.com/ts/product/ed/47/41/11907cc08f51371bc8c5519db62c900c.png,1,49000,49000,4.8,18
16,52789367,Nhà Giả Kim (Tái Bản 2020),33896,55200,40395,23800,30,https://salt.tikicdn.com/ts/product/ee/09/41/1424314a1a2c4faed0843a3d21201a92.png,1,79000,79000,5.0,5875
17,69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),16318,70500,40395,27500,28,https://salt.tikicdn.com/ts/product/0c/19/4a/6c8406efbf80da52d520dfd72181b99a.jpg,1,98000,98000,5.0,2781
18,174444163,"Dear, Darling",6130,59700,40395,28300,32,https://salt.tikicdn.com/ts/product/a8/1d/26/213a97add48ef8191b0f6415bb5ae615.jpg,1,88000,88000,4.8,888
19,73207240,Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,4217,132000,40395,33000,20,https://salt.tikicdn.com/ts/product/e6/87/03/ef5b33b2d0a1e5192f3d88bf52c15408.png,1,165000,165000,5.0,646
20,15245928,Băng keo 2 mặt chịu nhiệt dán linh kiện điện tử 3M khổ 10mm x 50m 9448A-10,35,123000,8537,12000,9,https://salt.tikicdn.com/ts/product/9a/8e/b2/e122f3b2087946c78229f1f4f2043f42.jpg,1,135000,135000,4.8,6
21,193099631,Đại Gia Gatsby,775,64400,40395,21600,25,https://salt.tikicdn.com/ts/product/1b/65/bd/5236fe1e51dd63aae463471ab1c86816.jpg,1,86000,86000,5.0,79
22,274163327,Bộ Thẻ Rèn Trí Sáng Suốt mới (Nâng cấp thay thế cho bộ Thẻ Chánh Kiến) - Sản phẩm tâm huyết thầy Trần Việt Quân,1,245000,338765,55000,18,https://salt.tikicdn.com/ts/product/90/76/1f/11e1f430a0d9c199c714a8deab54c49a.jpg,1,300000,300000,0.0,0
23,7718737,Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),11353,88300,40395,29700,25,https://salt.tikicdn.com/ts/product/ea/26/6a/a3ddb60453d65d3d7dd6e564e519299f.jpg,1,118000,118000,4.8,1012
24,271319877,Bấm Huyệt Bàn Chân - Tái Bản,37,61300,40395,28700,32,https://salt.tikicdn.com/ts/product/73/19/56/c9438eba33bb7ae2ef3aff8558541c6b.jpg,1,90000,90000,1.0,1
25,121635154,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),5467,48900,40395,23100,32,https://salt.tikicdn.com/ts/product/2e/39/a3/bd4aaad8c4dca1ff75617e5d38ff8b21.jpg,1,72000,72000,4.8,623
26,147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,14098,101000,40395,34000,25,https://salt.tikicdn.com/ts/product/6c/e2/bf/5be96097ea4b7e58f1d4e838cb5063e4.jpg,1,135000,135000,4.8,1988
27,3954355,Yêu Những Điều Không Hoàn Hảo,39949,83400,40395,55600,40,https://salt.tikicdn.com/ts/product/16/2f/ab/85cf6c3b7cc2b66723ddc1d15278a784.png,1,139000,139000,5.0,3926
28,73787185,Những Tù Nhân Của Địa Lý,22426,147000,40395,63000,30,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg,1,210000,210000,4.8,4078
29,117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,13044,168000,40395,72000,30,https://salt.tikicdn.com/ts/product/91/82/f6/1111aef015b032d353767ea207b75c30.jpg,1,240000,240000,5.0,2364
30,42230121,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,35503,129000,40395,29000,18,https://salt.tikicdn.com/ts/product/57/ab/ff/4f7ce7cc3e08cfd8908a5efc1e8f82b4.jpg,1,158000,158000,4.8,3655
